parameter_name,parameter_value,replica,seed,success,physical_time,biased_time,acceleration_factor,integration_steps,n_deposited_gaussians,W,sigma
sigma,3.9196340039666694e-05,1,2650800268,True,0.6041299240195253,0.604,1.0002151059925914,604,30,0.3,3.9196340039666694e-05
sigma,3.9196340039666694e-05,2,1419248264,True,1.5733090100359453,1.573,1.000196446303843,1573,78,0.3,3.9196340039666694e-05
sigma,3.9196340039666694e-05,3,2465165307,True,3.605101103971885,3.604,1.0003055227446962,3604,180,0.3,3.9196340039666694e-05
sigma,3.9196340039666694e-05,4,504632137,True,1.0917283285799773,1.091,1.0006675789000707,1091,54,0.3,3.9196340039666694e-05
sigma,3.9196340039666694e-05,5,3756118436,True,0.2692585532563715,0.269,1.000961164521827,269,13,0.3,3.9196340039666694e-05
sigma,3.9196340039666694e-05,6,2510298408,True,0.060040999969941215,0.06,1.0006833328323537,60,2,0.3,3.9196340039666694e-05
sigma,3.9196340039666694e-05,7,505104155,True,0.8300000000000006,0.8300000000000001,1.0000000000000007,830,41,0.3,3.9196340039666694e-05
sigma,3.9196340039666694e-05,8,2195133050,True,1.217157914395406,1.217,1.000129757103867,1217,60,0.3,3.9196340039666694e-05
sigma,3.9196340039666694e-05,9,2575398260,True,0.7180028222239656,0.718,1.000003930674047,718,35,0.3,3.9196340039666694e-05
sigma,5.515144501401154e-05,0,286358537,True,0.7121594222665962,0.712,1.0002239076778037,712,35,0.3,5.515144501401154e-05
sigma,5.515144501401154e-05,1,2416694523,True,0.7624713121180507,0.762,1.0006185198399615,762,38,0.3,5.515144501401154e-05
sigma,5.515144501401154e-05,2,1528964058,True,0.903418384688594,0.903,1.0004633274513777,903,45,0.3,5.515144501401154e-05
sigma,5.515144501401154e-05,3,2054426202,True,0.21612691798419342,0.216,1.0005875832601547,216,10,0.3,5.515144501401154e-05
sigma,5.515144501401154e-05,4,1793618961,True,0.20631064759760967,0.20600000000000002,1.0015079980466488,206,10,0.3,5.515144501401154e-05
sigma,5.515144501401154e-05,5,951384749,True,0.6683367022760356,0.668,1.0005040453234064,668,33,0.3,5.515144501401154e-05
sigma,5.515144501401154e-05,6,2131764648,True,0.5714238177115766,0.5710000000000001,1.000742237673514,571,28,0.3,5.515144501401154e-05
sigma,5.515144501401154e-05,7,3130636156,True,0.8234049253544091,0.8230000000000001,1.0004920113662321,823,41,0.3,5.515144501401154e-05
sigma,5.515144501401154e-05,8,3817310529,True,0.988882713066974,0.988,1.0008934342783138,988,49,0.3,5.515144501401154e-05
sigma,5.515144501401154e-05,9,1446613053,True,0.8895584782200232,0.888,1.0017550430405666,888,44,0.3,5.515144501401154e-05
sigma,7.760117102911523e-05,0,2362392703,True,0.7474752344621272,0.747,1.0006361907123522,747,37,0.3,7.760117102911523e-05
sigma,7.760117102911523e-05,1,3879728213,True,0.26811488738449823,0.268,1.0004286842705157,268,13,0.3,7.760117102911523e-05
sigma,7.760117102911523e-05,2,1694493199,True,0.02329713097261301,0.023,1.0129187379396962,23,1,0.3,7.760117102911523e-05
sigma,7.760117102911523e-05,3,3184273420,True,0.6353431421185888,0.635,1.0005403812891163,635,31,0.3,7.760117102911523e-05
sigma,7.760117102911523e-05,4,3407764962,True,0.3863166511864073,0.386,1.0008203398611588,386,19,0.3,7.760117102911523e-05
sigma,7.760117102911523e-05,5,1624047007,True,0.7403190898503215,0.74,1.0004312025004345,740,36,0.3,7.760117102911523e-05
sigma,7.760117102911523e-05,6,1585712874,True,1.913321908445386,1.9100000000000001,1.0017392190813539,1910,95,0.3,7.760117102911523e-05
sigma,7.760117102911523e-05,7,2853615279,True,0.04022325828180564,0.04,1.005581457045141,40,1,0.3,7.760117102911523e-05
sigma,7.760117102911523e-05,8,508762162,True,0.9112905653683125,0.911,1.0003189521057216,911,45,0.3,7.760117102911523e-05
sigma,7.760117102911523e-05,9,221861255,True,0.6077935591944444,0.607,1.0013073462840931,607,30,0.3,7.760117102911523e-05
sigma,0.00010918919247827658,0,2908943348,True,1.397344175658915,1.3960000000000001,1.0009628765465006,1396,69,0.3,0.00010918919247827658
sigma,0.00010918919247827658,1,3307267227,True,1.0495429523791453,1.048,1.001472282804528,1048,52,0.3,0.00010918919247827658
sigma,0.00010918919247827658,2,1525664259,True,1.2943290106934335,1.292,1.0018026398555986,1292,64,0.3,0.00010918919247827658
sigma,0.00010918919247827658,3,443500641,True,0.6714104957263549,0.671,1.0006117671033605,671,33,0.3,0.00010918919247827658
sigma,0.00010918919247827658,4,185095000,True,1.4174091007515828,1.416,1.0009951276494229,1416,70,0.3,0.00010918919247827658
sigma,0.00010918919247827658,5,3924610705,True,1.9413623510746925,1.938,1.0017349592748672,1938,96,0.3,0.00010918919247827658
sigma,0.00010918919247827658,6,2144320215,True,1.0625067873207998,1.062,1.000477200867043,1062,53,0.3,0.00010918919247827658
sigma,0.00010918919247827658,7,1509502029,True,0.9537757797544525,0.9530000000000001,1.0008140396164245,953,47,0.3,0.00010918919247827658
sigma,0.00010918919247827658,8,614983372,True,2.8897134681117507,2.884,1.001981091578277,2884,144,0.3,0.00010918919247827658
sigma,0.00010918919247827658,9,1919750712,True,0.6239837596947462,0.623,1.0015790685308927,623,31,0.3,0.00010918919247827658
sigma,0.0001536353072505182,0,2823671387,True,0.12339745451589901,0.123,1.0032313375276343,123,6,0.3,0.0001536353072505182
sigma,0.0001536353072505182,1,234406837,True,0.5805897007649152,0.58,1.0010167254567504,580,28,0.3,0.0001536353072505182
sigma,0.0001536353072505182,2,2952146909,True,0.48876228242919995,0.488,1.0015620541581967,488,24,0.3,0.0001536353072505182
sigma,0.0001536353072505182,3,3100732958,True,1.9781279381799173,1.975,1.0015837661670466,1975,98,0.3,0.0001536353072505182
