dimension,epsilon,delta_t,seed,escaped,escape_index,target_hit,outer_hit,escape_time,attempted_steps,rejected_steps
3,0.15730762877905569,0.0004949138014417839,3353139513,True,0,True,False,0.06650780664206789,135,6
3,0.15730762877905569,0.0004949138014417839,630156260,True,1,False,True,0.05059275861610969,103,6
3,0.15730762877905569,0.0004949138014417839,1065232717,True,1,False,True,0.06525722257812366,132,6
3,0.15730762877905569,0.0004949138014417839,224663732,True,1,False,True,0.055073361968357444,112,3
3,0.15730762877905569,0.0004949138014417839,1505306820,True,1,False,True,0.32974818417248347,667,0
3,0.15730762877905569,0.0004949138014417839,3177730575,True,1,False,True,0.08301512323895369,168,0
3,0.15730762877905569,0.0004949138014417839,370645696,True,1,False,True,0.22606917094499934,457,12
3,0.15730762877905569,0.0004949138014417839,4003553083,True,1,False,True,0.11267306262334771,228,9
3,0.15730762877905569,0.0004949138014417839,1244924585,True,0,True,False,0.004587144703271009,10,0
3,0.15730762877905569,0.0004949138014417839,1790225150,True,0,True,False,0.06423786908982651,130,0
3,0.15730762877905569,0.0004949138014417839,460819444,True,1,False,True,0.04351862337378669,88,1
3,0.15730762877905569,0.0004949138014417839,561731937,True,1,False,True,0.33187752789060393,671,15
3,0.15730762877905569,0.0004949138014417839,179399289,True,1,False,True,0.11398452452206963,231,1
3,0.15730762877905569,0.0004949138014417839,860308115,True,1,False,True,0.17515943383478141,354,5
3,0.15730762877905569,0.0004949138014417839,1805110066,True,0,True,False,0.1107638028114481,224,3
3,0.15730762877905569,0.0004949138014417839,2688723300,True,1,False,True,0.088093463860101,178,0
3,0.15730762877905569,0.0004949138014417839,3498471390,True,1,False,True,0.046496239125771374,94,0
3,0.15730762877905569,0.0004949138014417839,1045426209,True,0,True,False,0.017456153569295585,36,0
3,0.15730762877905569,0.0004949138014417839,537727507,True,0,True,False,0.01643249543773244,34,0
3,0.15730762877905569,0.0004949138014417839,1440420798,True,1,False,True,0.07008577421202605,142,0
3,0.15730762877905569,0.0004949138014417839,1645953925,True,1,False,True,0.06631042404618248,134,10
3,0.15730762877905569,0.0004949138014417839,1739915783,True,0,True,False,0.00542886769949728,11,0
3,0.15730762877905569,0.0004949138014417839,704112987,True,0,True,False,0.11664575097277197,236,1
